id;kliendigrupp
HITS-002;eraisik
HITS-001;eraisik
RIIK-004;eraisik
PRIA-097;eraisik
PRIA-096;eraisik
PRIA-095;eraisik
PRIA-094;eraisik
PRIA-093;eraisik
MFA-022;eraisik
KRA-004;eraisik
MFA-021;eraisik
KRA-003;eraisik
KRA-002;eraisik
MFA-020;eraisik
MFA-019;eraisik
MFA-018;eraisik
PRIA-092;eraisik
PRIA-091;eraisik
KRA-001;eraisik
PRIA-090;eraisik
PRIA-089;eraisik
KAM-004;eraisik
KAM-003;eraisik
ESM-005;eraisik
ESM-004;eraisik
ESM-003;eraisik
KAM-002;eraisik
PRIA-088;eraisik
KKAG-004;eraisik
PRIA-087;eraisik
PRIA-085;eraisik
PRIA-084;eraisik
PRIA-083;eraisik
PRIA-082;eraisik
PRIA-081;eraisik
PRIA-080;eraisik
KI-009;eraisik
KI-008;eraisik
KI-007;eraisik
HÄIR-004;eraisik
HÄIR-003;eraisik
HÄIR-002;eraisik
KEM-027;eraisik
KEM-026;eraisik
KEM-025;eraisik
KEM-023;eraisik
RIIK-003;eraisik
KL-004;eraisik
EPA-025;eraisik
EPA-024;eraisik
EPA-023;eraisik
EPA-022;eraisik
MFA-017;eraisik
MFA-016;eraisik
RIK-004;eraisik
MA-067;eraisik
RIIK-002;eraisik
MAA-045;eraisik
MAA-044;eraisik
MAA-043;eraisik
MAA-042;eraisik
MAA-041;eraisik
MAA-040;eraisik
MFA-015;eraisik
MFA-014;eraisik
VILJ-001;eraisik
MFA-013;eraisik
MFA-012;eraisik
EPA-021;eraisik
TEHV-001;eraisik
mta-211;eraisik
PMA-015;eraisik
PMA-014;eraisik
VENE-005;eraisik
VENE-004;eraisik
VENE-003;eraisik
VENE-002;eraisik
MFA-011;eraisik
mta-210;eraisik
PMK-005;eraisik
PRIA-079;eraisik
mta-209;eraisik
PRIA-078;eraisik
PRIA-077;eraisik
PRIA-076;eraisik
PRIA-075;eraisik
mta-208;eraisik
PRIA-074;eraisik
PRIA-073;eraisik
PRIA-072;eraisik
EN-001;eraisik
PRIA-071;eraisik
PRIA-070;eraisik
mta-207;eraisik
PRIA-069;eraisik
PRIA-068;eraisik
PRIA-067;eraisik
PRIA-066;eraisik
PRIA-065;eraisik
MA-060;eraisik
mta-206;eraisik
mta-205;eraisik
mta-204;eraisik
mta-203;eraisik
mta-202;eraisik
mta-201;eraisik
mta-200;eraisik
PRIA-064;eraisik
PRIA-063;eraisik
ESM-002;eraisik
ESM-001;eraisik
NLIB-013;eraisik
NLIB-012;eraisik
NLIB-011;eraisik
NLIB-010;eraisik
NLIB-009;eraisik
NLIB-008;eraisik
MEIS-002;eraisik
VANE-001;eraisik
MEIS-001;eraisik
PARN-010;eraisik
PRIA-062;eraisik
PRIA-061;eraisik
PARN-009;eraisik
PRIA-060;eraisik
PRIA-059;eraisik
PRIA-058;eraisik
PRIA-057;eraisik
PARN-008;eraisik
PRIA-056;eraisik
PRIA-055;eraisik
PRIA-054;eraisik
PARN-007;eraisik
PARN-006;eraisik
PARN-005;eraisik
KKAG-003;eraisik
PRIA-053;eraisik
PRIA-052;eraisik
PRIA-051;eraisik
PRIA-050;eraisik
PRIA-049;eraisik
PRIA-048;eraisik
PARN-004;eraisik
PRIA-047;eraisik
PRIA-046;eraisik
PRIA-045;eraisik
PRIA-044;eraisik
PRIA-043;eraisik
PRIA-042;eraisik
PRIA-041;eraisik
PARN-003;eraisik
PAL-001;eraisik
PARN-002;eraisik
KKAG-002;eraisik
PARN-001;eraisik
HÄIR-001;eraisik
HIIU-001;eraisik
PRIA-040;eraisik
PRIA-039;eraisik
mta-199;eraisik
PRIA-038;eraisik
PRIA-037;eraisik
PRIA-036;eraisik
PRIA-035;eraisik
PRIA-034;eraisik
PRIA-033;eraisik
PRIA-032;eraisik
PRIA-031;eraisik
mta-198;eraisik
mta-197;eraisik
PRIA-030;eraisik
PRIA-029;eraisik
PRIA-028;eraisik
PRIA-027;eraisik
PRIA-026;eraisik
PRIA-025;eraisik
MAA-039;eraisik
PRIA-024;eraisik
MAA-038;eraisik
PRIA-023;eraisik
PRIA-022;eraisik
PRIA-021;eraisik
MAA-037;eraisik
PRIA-020;eraisik
MAA-036;eraisik
MAA-035;eraisik
SALM-001;eraisik
PRIA-019;eraisik
PRIA-018;eraisik
PRIA-017;eraisik
PRIA-016;eraisik
PRIA-015;eraisik
PRIA-014;eraisik
PRIA-013;eraisik
PRIA-012;eraisik
mta-196;eraisik
mta-195;eraisik
mta-194;eraisik
mta-193;eraisik
mta-192;eraisik
mta-191;eraisik
mta-190;eraisik
mta-189;eraisik
mta-188;eraisik
mta-187;eraisik
mta-186;eraisik
mta-185;eraisik
mta-184;eraisik
mta-183;eraisik
mta-182;eraisik
TAI-004;eraisik
TAI-003;eraisik
TAI-002;eraisik
mta-181;eraisik
mta-180;eraisik
mta-179;eraisik
mta-178;eraisik
mta-177;eraisik
mta-176;eraisik
mta-175;eraisik
mta-174;eraisik
mta-173;eraisik
mta-172;eraisik
mta-171;eraisik
mta-170;eraisik
mta-169;eraisik
mta-168;eraisik
mta-167;eraisik
KKAG-001;eraisik
mta-166;eraisik
mta-165;eraisik
mta-164;eraisik
mta-163;eraisik
mta-162;eraisik
mta-161;eraisik
mta-160;eraisik
mta-159;eraisik
mta-158;eraisik
mta-157;eraisik
mta-156;eraisik
mta-155;eraisik
mta-154;eraisik
mta-153;eraisik
mta-152;eraisik
mta-151;eraisik
mta-150;eraisik
mta-149;eraisik
mta-148;eraisik
mta-147;eraisik
mta-146;eraisik
mta-145;eraisik
mta-144;eraisik
mta-143;eraisik
mta-142;eraisik
mta-141;eraisik
mta-140;eraisik
