KKA-002;https://eteenus.keskkonnaamet.ee/;Veebileht;;;;
STAT-002;http://www.stat.ee/90732;Veebileht;;;;34
KUM-006;www.e-kultuur.ee;Veebileht;;6000;;
JUM-001;http://www.juristaitab.ee/;Veebileht;;20000;;
MKM-011;https://www.mkm.ee/et/tegevused-eesmargid/infouhiskond/infouhiskonna-teenused;Veebileht;;12270;;
KUM-004;www.lugeja.ee;Veebileht;;1440;;
STAT-001;http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp;Veebileht;;202500;;
STAT-023;http://pub.stat.ee/px-web.2001/Database/Eri_valdkondade_statistika/Saastev_areng/Saastev_areng.asp;Veebileht;;24.mai;;
STAT-002;http://www.stat.ee/90732;Veebileht;;56700;;
KUM-006;www.e-kultuur.ee;Veebileht;;;;
JUM-001;http://www.juristaitab.ee/;Veebileht;0.2;;;
MKM-011;https://www.mkm.ee/et/tegevused-eesmargid/infouhiskond/infouhiskonna-teenused;Veebileht;;;;
MA-043;www.peatus.ee;Veebileht;0.02;;;
STAT-001;http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp;Veebileht;1;;;
STAT-023;http://pub.stat.ee/px-web.2001/Database/Eri_valdkondade_statistika/Saastev_areng/Saastev_areng.asp;Veebileht;0.5;;;
STAT-002;http://www.stat.ee/90732;Veebileht;1;;;
mta-096;http://www.emta.ee/et/ariklient/toll-kaubavahetus/oigusaktid/eesti-tollialased-oigusaktid;E-iseteenindus;;;;
mta-076;http://www.emta.ee/et/emta_login/nojs;E-iseteenindus;;;;
mta-015;http://www.emta.ee/et/emta_login/nojs;E-iseteenindus;;;;
mta-013;http://www.emta.ee/et/emta_login/nojs;E-iseteenindus;;;31849;
mta-012;http://www.emta.ee/et/emta_login/nojs;E-iseteenindus;;;663156;
RTK-003;https://aruanded.fin.ee/;E-iseteenindus;;;282550;
STAT-009;http://pub.stat.ee/px-web.2001/Database/Rahvastik/databasetree.asp;E-iseteenindus;;;;
STAT-010;http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp;E-iseteenindus;;;;
STAT-011;http://pub.stat.ee/px-web.2001/Database/Sotsiaalelu/databasetree.asp;E-iseteenindus;;;;
EMK-001;http://www.pria.ee/et/ePRIA;E-iseteenindus;;;5000;
RTK-001;www.riigitootaja.ee;E-iseteenindus;;;;
STAT-007;http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp;E-iseteenindus;;;;
RM-007;https://riigihanked.riik.ee;E-iseteenindus;;;9107;
RM-008;https://riigihanked.riik.ee;E-iseteenindus;;;32107;
STAT-008;http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp;E-iseteenindus;;;;
mta-096;http://www.emta.ee/et/ariklient/toll-kaubavahetus/oigusaktid/eesti-tollialased-oigusaktid;E-iseteenindus;;;;36
mta-076;http://www.emta.ee/et/emta_login/nojs;E-iseteenindus;;;;67
mta-015;http://www.emta.ee/et/emta_login/nojs;E-iseteenindus;;;;83
mta-013;http://www.emta.ee/et/emta_login/nojs;E-iseteenindus;;;;83
mta-012;http://www.emta.ee/et/emta_login/nojs;E-iseteenindus;;;;83
RTK-003;https://aruanded.fin.ee/;E-iseteenindus;;;;75
STAT-009;http://pub.stat.ee/px-web.2001/Database/Rahvastik/databasetree.asp;E-iseteenindus;;;;34
STAT-010;http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp;E-iseteenindus;;;;34
STAT-011;http://pub.stat.ee/px-web.2001/Database/Sotsiaalelu/databasetree.asp;E-iseteenindus;;;;34
EMK-001;http://www.pria.ee/et/ePRIA;E-iseteenindus;;;;
RTK-001;www.riigitootaja.ee;E-iseteenindus;;;;83
STAT-007;http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp;E-iseteenindus;;;;34
RM-007;https://riigihanked.riik.ee;E-iseteenindus;;;;72
RM-008;https://riigihanked.riik.ee;E-iseteenindus;;;;72
STAT-008;http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp;E-iseteenindus;;;;34
mta-013;http://www.emta.ee/et/emta_login/nojs;E-iseteenindus;;;;
mta-012;http://www.emta.ee/et/emta_login/nojs;E-iseteenindus;;;;
RTK-003;https://aruanded.fin.ee/;E-iseteenindus;;;;
STAT-009;http://pub.stat.ee/px-web.2001/Database/Rahvastik/databasetree.asp;E-iseteenindus;;24500;;
STAT-010;http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp;E-iseteenindus;;355300;;
STAT-011;http://pub.stat.ee/px-web.2001/Database/Sotsiaalelu/databasetree.asp;E-iseteenindus;;3300;;
STAT-007;http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp;E-iseteenindus;;9800;;
RM-007;https://riigihanked.riik.ee;E-iseteenindus;;;;
RM-008;https://riigihanked.riik.ee;E-iseteenindus;;;;
