id.x;kanal.x;aasta;ajakulu.y;hind.y;osutamistearv.y;rahulolu.y
MKM-034;Post;2014;1;;;
MKM-036;E-iseteenindus;2014;0.25;;;
MKM-036;E-post;2014;1;;41;
MKM-036;Post;2013;;;51;
MKM-038;E-iseteenindus;2014;0.25;;14;
MKM-038;E-post;2014;1;;11;
MKM-039;E-iseteenindus;2014;0.25;;;
MKM-039;E-post;2014;1;;;
MKM-040;E-post;2014;1;;41;
MKM-040;Post;2014;1;;23;
MKM-044;Veebileht;2014;;47920;;-37.5
mta-001;E-iseteenindus;2013;;;4756;
mta-003;E-iseteenindus;2013;;;18;
mta-004;E-iseteenindus;2013;;;1520;
mta-005;E-iseteenindus;2013;;;1517;62
mta-007;E-iseteenindus;2013;;;6;62
mta-009;E-iseteenindus;2014;;;;62
mta-011;E-iseteenindus;2013;;;8;62
mta-012;E-iseteenindus;2013;;;663156;83
mta-013;E-iseteenindus;2013;;;31849;83
mta-015;E-iseteenindus;2014;;;;83
mta-016;E-iseteenindus;2013;;;7020;
mta-018;Letiteenus büroos;2013;;;1;62
mta-019;Letiteenus büroos;2013;;;109;62
mta-023;E-iseteenindus;2013;;;65000;62
mta-025;E-iseteenindus;2013;;;10;
mta-027;E-iseteenindus;2013;;;4000;
mta-028;E-iseteenindus;2014;;;;62
mta-029;E-iseteenindus;2013;;;4000;62
mta-037;Letiteenus büroos;2013;;;84404;
mta-042;E-iseteenindus;2013;;;1400;
mta-045;E-iseteenindus;2013;;;27;62
mta-046;E-iseteenindus;2014;;;;62
mta-047;E-iseteenindus;2013;;;6;62
mta-048;E-iseteenindus;2014;;;;62
mta-051;E-iseteenindus;2014;;;;62
mta-053;E-iseteenindus;2013;;;7;62
mta-056;E-iseteenindus;2014;;;;62
mta-061;E-iseteenindus;2013;;;126;
mta-062;E-iseteenindus;2014;;;;62
mta-063;E-iseteenindus;2013;;;99;
mta-064;E-iseteenindus;2013;;;39;62
mta-065;E-iseteenindus;2013;;;24;
mta-068;E-iseteenindus;2014;;;;62
mta-069;E-iseteenindus;2013;;;82;
mta-076;E-iseteenindus;2014;;;;67
mta-081;E-iseteenindus;2013;;;35;
mta-095;E-iseteenindus;2013;;;13742;
mta-100;E-iseteenindus;2014;;;;62
mta-102;E-iseteenindus;2013;;;8;
mta-104;E-iseteenindus;2014;;;;62
mta-108;E-iseteenindus;2013;;;8;
mta-109;E-post;2013;;;3;62
mta-110;Kliendijuures;2013;;;297765;
mta-132;E-post;2013;;;1;62
mta-133;E-iseteenindus;2013;;;10;
mta-135;E-iseteenindus;2014;;;;62
mta-137;E-iseteenindus;2013;;;14;
mta-138;E-iseteenindus;2014;;;;62
mta-140;E-iseteenindus;2014;;;;62
mta-142;E-iseteenindus;2013;;;14;62
mta-144;E-iseteenindus;2013;;;8;
mta-147;E-iseteenindus;2013;;;1;62
